Primary Question,Alternative Phrasing 1,Alternative Phrasing 2,Required Parameters,SQL Query (Existing or Recovered),Testing Parameter,Bridge Tool Mapping,Suggested Tool Name,Tool Description
Show projects for client :client_name.,List projects associated with :client_name.,Which projects belong to :client_name?,client_name,,,Needs SQL (Tool),get_client_projects,Intended to list active projects for one client. SQL NOT YET WRITTEN - tbl_projects.client_id (int) to tbl_clients.client_id (varchar) is a type mismatch not verified live. Params: client_name. Report the blocker; do not invent the join.
How many active users are allocated to :project_name?,Show the team size of :project_name.,How many people are on :project_name?,project_name,"SELECT
    p.project_id,
    p.project_unique_id,
    p.project_key,
    p.title AS project_name,
    COUNT(DISTINCT pu.user_id) AS active_users_allocated
FROM tbl_projects p
INNER JOIN tbl_project_users pu
    ON p.project_id = pu.project_id
INNER JOIN tbl_users u
    ON pu.user_id = u.user_id
WHERE
    p.title = :project_name
    AND p.status = 1
    AND p.archive = 0
    AND pu.status = 1
    AND pu.request_status = 'A'
    AND u.status = 1
GROUP BY
    p.project_id,
    p.project_unique_id,
    p.project_key,
    p.title;",,Tool,get_project_active_user_count,Returns the count of active allocated users (team size) on one project. Params: project_name (exact title). For the member list rather than the count use get_project_team.
Which projects do not have a project manager?,Show projects with no PM assigned.,List unowned PM assignments.,none,"SELECT p.project_id, p.project_key, p.title, p.start_date, p.end_date, ps.status_name FROM tbl_projects p LEFT JOIN tbl_project_status ps ON ps.status_id = p.project_status_id WHERE p.pm_user_id IS NULL AND p.status = 1 AND p.archive = 0 ORDER BY p.title;",,Tool,get_projects_without_pm,"Lists active, non-archived projects with no project manager assigned (pm_user_id IS NULL). Use for PM-ownership governance checks. Params: none."
Which active projects have no allocated users?,Show projects without team members.,List active projects with an empty team.,none,"SELECT
    p.project_id,
    p.project_key,
    p.title AS project_name,
    p.project_type,
    p.start_date,
    p.end_date,
    p.rag,
    p.priority
FROM tbl_projects p
LEFT JOIN tbl_project_users pu
    ON p.project_id = pu.project_id
    AND pu.status = 1
    AND pu.request_status = 'A'
WHERE
    p.status = 1
    AND p.archive = 0
    AND pu.project_id IS NULL
ORDER BY
    p.title;",,Tool,get_projects_without_team,"Lists active, non-archived projects with no approved active member in tbl_project_users. Use for projects with nobody allocated. Params: none. Complements get_projects_without_pm, which checks the PM field rather than team membership."
What project records were updated recently for :project_name?,"Show recent project, task, issue, and risk activity for :project_name.",What activity has occurred on :project_name in the last :days days?,project_identifier; days,,,Needs SQL (Tool),get_project_recent_activity,"Intended to return recently changed records for one project across projects, tasks, issues and risks. SQL NOT YET WRITTEN. Params: project_identifier, days. Substitutes: get_recently_updated_tasks, or get_dormant_projects for the inverse view."
Give me a summary of active projects.,Show active project counts by status and stage.,Summarize the current project portfolio.,current_user_scope,"SELECT
    ps.status_name,
    st.stage_name,
    COUNT(DISTINCT p.project_id) AS total_active_projects
FROM tbl_projects p
LEFT JOIN tbl_project_status ps
    ON p.project_status_id = ps.status_id
LEFT JOIN tbl_project_stages st
    ON p.project_stage_id = st.stage_id
WHERE
    p.status = 1
    AND p.archive = 0
GROUP BY
    ps.status_name,
    st.stage_name
ORDER BY
    ps.status_name,
    st.stage_name;",,Tool,get_active_project_summary,Returns counts of active projects grouped by status and stage - portfolio composition. Params: current_user_scope (not applied; the query is organisation-wide). For a health rather than composition view use get_portfolio_health_summary.
What is the task completion progress of milestone :milestone_name?,How many milestone tasks are completed?,Show completed versus open tasks for :milestone_name.,"milestone_name, project_name",,,Blocked - Data Not Available,get_milestone_task_progress,"Intended to report task completion progress for one milestone. NOT EXECUTABLE - milestone tables are empty in this instance, so no milestone-to-task mapping exists. Params: milestone_name, project_name. Report the gap; do not substitute project or task progress."
Which milestone dates differ from their mapped task dates?,Show milestones with task schedules outside milestone dates.,List milestone schedule mismatches.,none,,,Blocked - Data Not Available,get_milestone_date_mismatches,Intended to list milestones whose dates conflict with their mapped task dates. NOT EXECUTABLE - milestone data is not populated in this instance. Params: none. The working project-level equivalent is get_projects_with_late_tasks.
Who owns milestone :milestone_name?,Show the owner of :milestone_name.,Who is responsible for :milestone_name?,milestone_name,,,Blocked - Data Not Available,get_milestone_owner,Intended to return the owner of one milestone. NOT EXECUTABLE - milestone data is not populated in this instance. Params: milestone_name.
What are my open tasks?,Show tasks assigned to me that are not closed.,List my pending work items.,current_user,"SELECT p.title AS project_title, t.task_id, t.reference_no, t.title AS task_title,
       t.due_date, ts.status_name, t.priority, t.rag, t.percent_complete, tu.allot_percentage
FROM tbl_project_task_users tu
JOIN tbl_project_tasks t ON t.task_id = tu.task_id
JOIN tbl_projects p ON p.project_id = t.project_id
LEFT JOIN tbl_project_task_status ts ON ts.task_status_id = t.task_status_id
WHERE tu.user_id = :current_user_id
  AND tu.status = 1
  AND t.status = 1 AND t.archive = 0
  AND p.status = 1 AND p.archive = 0
  AND ts.status_type IN (1,2,4,6)   -- open: New/In Progress/UAT/Reopened -- confirm UAT/Reopened treatment with developer
ORDER BY t.due_date, t.reference_no;",3066,Tool,get_my_open_tasks,"Lists open tasks assigned to the signed-in user. Use for 'my tasks' or 'my pending work'. Params: current_user (numeric user_id in the published SQL). Open is resolved via tbl_project_task_status.status_type, never a hardcoded status id."
Which of my tasks are due today?,Show my tasks with today’s due date.,What work is due for me today?,"current_user, current_date","SELECT t.task_id, t.reference_no, t.title, p.title AS project_title, t.due_date, ts.status_name, t.priority, t.rag, t.percent_complete FROM tbl_project_task_users tu JOIN tbl_project_tasks t ON t.task_id = tu.task_id JOIN tbl_projects p ON p.project_id = t.project_id LEFT JOIN tbl_project_task_status ts ON ts.task_status_id = t.task_status_id WHERE tu.user_id = :current_user_id AND tu.status = 1 AND t.status = 1 AND t.archive = 0 AND DATE(t.due_date) = CURRENT_DATE ORDER BY t.due_date, t.reference_no;",,Tool,get_my_tasks_due_today,"Lists the signed-in user's tasks due today. Params: current_user, current_date. For everything still open regardless of date use get_my_open_tasks."
Which of my tasks are overdue?,Show my delayed tasks.,List my open tasks past their due date.,"current_user, as_of_date","SELECT
    pt.task_id,
    pt.title AS task_name,
    pt.project_id,
    pt.start_date,
    pt.due_date,
    pt.percent_complete,
    DATEDIFF(CURDATE(), pt.due_date) AS overdue_days
FROM tbl_project_tasks pt
INNER JOIN tbl_project_task_users tu
    ON pt.task_id = tu.task_id
WHERE
    tu.user_id = 3066          -- Replace with actual User ID
    AND pt.status = 1
    AND pt.archive = 0
    AND pt.percent_complete < 100
    AND pt.due_date < CURDATE()
ORDER BY
    overdue_days DESC,
    pt.due_date;",,Tool,get_my_overdue_tasks,"Lists the signed-in user's incomplete tasks past their due date, with days overdue. Params: current_user, as_of_date. Caveat: the published SQL hardcodes user_id 3066 - bind it to the caller before execution."
Show tasks assigned to :employee_name.,List :employee_name’s tasks.,What work is assigned to :employee_name?,employee_name,"SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, p.title AS project_title, t.task_id, t.reference_no, t.title AS task_title, t.due_date, ts.status_name, tu.allot_percentage FROM tbl_users u JOIN tbl_project_task_users tu ON tu.user_id = u.user_id JOIN tbl_project_tasks t ON t.task_id = tu.task_id JOIN tbl_projects p ON p.project_id = t.project_id LEFT JOIN tbl_project_task_status ts ON ts.task_status_id = t.task_status_id WHERE CONCAT_WS(' ', u.first_name, u.last_name) = :employee_name AND tu.status = 1 AND t.status = 1 AND t.archive = 0 ORDER BY p.title, t.due_date, t.reference_no;",,Tool,get_employee_tasks,Lists tasks assigned to a named employee. Use for 'what is <person> working on'. Params: employee_name (exact match on first + last name). For the signed-in user use get_my_open_tasks.
Show open tasks for :project_name.,List pending tasks under :project_name.,What work remains for :project_name?,project_name,"SELECT
    p.project_id,
    p.project_key,
    p.title AS project_name,
    pt.task_id,
    pt.title AS task_name,
    pts.status_name,
    pt.priority,
    pt.start_date,
    pt.due_date,
    pt.percent_complete
FROM tbl_projects p
INNER JOIN tbl_project_tasks pt
    ON p.project_id = pt.project_id
LEFT JOIN tbl_project_task_status pts
    ON pt.task_status_id = pts.task_status_id
    AND pts.project_id = p.project_id
WHERE
    p.title = 'Project Name'          -- Replace with actual project name
    AND p.status = 1
    AND p.archive = 0
    AND pt.status = 1
    AND pt.archive = 0
    AND pt.percent_complete < 100
ORDER BY
    pt.due_date,
    pt.priority DESC;",,Tool,get_project_open_tasks,"Lists open tasks for one project. Params: project_name (exact title). Open means status_type IN (1,2,4,6) - New, In Progress, UAT, Reopened; confirm with the caller whether UAT and Reopened should count."
Show completed tasks for :project_name.,List closed tasks under :project_name.,What tasks are finished in :project_name?,project_name,"SELECT
    p.project_id,
    p.project_key,
    p.title AS project_name,
    pt.task_id,
    pt.title AS task_name,
    pts.status_name,
    pt.priority,
    pt.start_date,
    pt.due_date,
    pt.percent_complete,
    pt.actual_hours
FROM tbl_projects p
INNER JOIN tbl_project_tasks pt
    ON p.project_id = pt.project_id
LEFT JOIN tbl_project_task_status pts
    ON pt.task_status_id = pts.task_status_id
    AND pts.project_id = p.project_id
WHERE
    p.title = 'Project Name'      -- Replace with actual project name
    AND p.status = 1
    AND p.archive = 0
    AND pt.status = 1
    AND pt.archive = 0
    AND pt.percent_complete = 100
ORDER BY
    pt.due_date DESC,
    pt.title;",,Tool,get_project_completed_tasks,Lists closed tasks for one project. Params: project_name (exact title). Closed is status_type = 3; Abandoned (5) is deliberately not counted as complete.
Which tasks are unassigned?,Show tasks with no active assignee.,List unallocated tasks.,project_scope,"SELECT
    pt.task_id,
    pt.title AS task_name,
    p.project_key,
    p.title AS project_name,
    pt.priority,
    pt.start_date,
    pt.due_date
FROM tbl_project_tasks pt
INNER JOIN tbl_projects p
    ON pt.project_id = p.project_id
LEFT JOIN tbl_project_task_users tu
    ON pt.task_id = tu.task_id
    AND tu.status = 1
WHERE
    pt.status = 1
    AND pt.archive = 0
    AND p.status = 1
    AND p.archive = 0
    AND tu.task_id IS NULL
ORDER BY
    p.title,
    pt.title",,Tool,get_unassigned_tasks,Lists active tasks with no active assignee in tbl_project_task_users. Params: project_scope (optional filter; portfolio-wide if omitted). For a project-ranked view of the same gap use get_unassigned_task_ratio_projects.
Show high-priority open tasks.,List urgent pending tasks.,Which open tasks have high priority?,project_scope,"SELECT
    p.project_id,
    p.project_key,
    p.title AS project_name,
    pt.task_id,
    pt.title AS task_name,
    pts.status_name,
    pt.priority,
    pt.start_date,
    pt.due_date,
    pt.percent_complete,
    DATEDIFF(pt.due_date, CURDATE()) AS days_remaining
FROM tbl_project_tasks pt
INNER JOIN tbl_projects p
    ON pt.project_id = p.project_id
LEFT JOIN tbl_project_task_status pts
    ON pt.task_status_id = pts.task_status_id
    AND pts.project_id = p.project_id
WHERE
    pt.status = 1
    AND pt.archive = 0
    AND p.status = 1
    AND p.archive = 0
    AND pt.priority = 'High'
    AND pt.percent_complete < 100
ORDER BY
    pt.due_date ASC,
    p.title,
    pt.title",,Tool,get_high_priority_open_tasks,"Lists open tasks with priority High. Params: project_scope (optional). priority is an ENUM of High/Medium/Low/Default/In Staging and must be compared as a quoted string, never a number."
Which tasks have a red RAG status?,Show red-health tasks.,List tasks flagged red.,project_scope,"SELECT t.task_id, t.reference_no, t.title, p.title AS project_title, t.rag, t.due_date, ts.status_name FROM tbl_project_tasks t JOIN tbl_projects p ON p.project_id = t.project_id LEFT JOIN tbl_project_task_status ts ON ts.task_status_id = t.task_status_id WHERE LOWER(t.rag) = 'red' AND t.status = 1 AND t.archive = 0 ORDER BY t.due_date, p.title;",,Tool,get_red_rag_tasks,"Lists active tasks whose RAG is Red. Use for task-level health escalation. Params: project_scope (optional). Task RAG is distinct from project RAG, which is get_project_rag."
Which tasks are due between :start_date and :end_date?,Show tasks due in the selected period.,List upcoming task deadlines.,"start_date, end_date","SELECT t.task_id, t.reference_no, t.title, p.title AS project_title, t.due_date, ts.status_name, t.priority, t.rag FROM tbl_project_tasks t JOIN tbl_projects p ON p.project_id = t.project_id LEFT JOIN tbl_project_task_status ts ON ts.task_status_id = t.task_status_id WHERE t.due_date >= :start_date AND t.due_date < DATE_ADD(:end_date, INTERVAL 1 DAY) AND t.status = 1 AND t.archive = 0 ORDER BY t.due_date, p.title, t.reference_no;",,Tool,get_tasks_due_in_range,"Lists active tasks due inside an inclusive date window. Use for deadlines this week or month. Params: start_date, end_date. All projects unless scoped; for the caller's own deadlines use get_my_tasks_due_today."
Show details of task :task_reference.,Give me the task summary for :task_reference.,Open task :task_reference.,task_reference,"SELECT t.task_id, t.reference_no, t.title, t.description, p.project_id, p.title AS project_title, t.task_owner, t.start_date, t.due_date, t.task_status_id, ts.status_name, t.priority, t.rag, t.estimate, t.actual_hours, t.percent_complete, t.update_date FROM tbl_project_tasks t JOIN tbl_projects p ON p.project_id = t.project_id LEFT JOIN tbl_project_task_status ts ON ts.task_status_id = t.task_status_id WHERE t.reference_no = :task_reference AND t.status = 1 AND t.archive = 0;",,Tool,get_task_details,"Returns the full record of one task, including estimate, actual hours and completion. Use for 'show' or 'open task <ref>'. Params: task_reference (tbl_project_tasks.reference_no)."
Show subtasks of :task_reference.,List child tasks under :task_reference.,What tasks depend hierarchically on :task_reference?,task_reference,"SELECT c.task_id, c.reference_no, c.title, c.start_date, c.due_date, ts.status_name, c.priority, c.rag, c.percent_complete FROM tbl_project_tasks parent JOIN tbl_project_tasks c ON c.parent_id = parent.task_id LEFT JOIN tbl_project_task_status ts ON ts.task_status_id = c.task_status_id WHERE parent.reference_no = :task_reference AND c.status = 1 AND c.archive = 0 ORDER BY c.due_date, c.reference_no;",,Tool,get_task_subtasks,Lists the child tasks of one parent task via the parent_id hierarchy. Params: task_reference of the parent. This is the only task dependency structure confirmed populated - there is no general blocker graph.
Who is assigned to task :task_reference?,Show all assignees for :task_reference.,Which users are allocated to :task_reference?,task_reference,"SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, u.email, tu.allot_percentage, tu.post_date AS assigned_on FROM tbl_project_tasks t JOIN tbl_project_task_users tu ON tu.task_id = t.task_id JOIN tbl_users u ON u.user_id = tu.user_id WHERE t.reference_no = :task_reference AND tu.status = 1 ORDER BY employee_name;",,Tool,get_task_assignees,"Lists the users actively assigned to one task, with allotted percentage. Use for 'who is working on <ref>'. Params: task_reference. Active assignments only (tbl_project_task_users.status = 1)."
Show allocation percentages for task :task_reference.,How is task :task_reference allocated?,List assignees and percentages for :task_reference.,task_reference,"SELECT u.user_id, CONCAT_WS(' ', u.first_name, u.last_name) AS employee_name, tu.allot_percentage FROM tbl_project_tasks t JOIN tbl_project_task_users tu ON tu.task_id = t.task_id JOIN tbl_users u ON u.user_id = tu.user_id WHERE t.reference_no = :task_reference AND tu.status = 1 ORDER BY tu.allot_percentage DESC, employee_name;",,Tool,get_task_allocation_percentages,"Returns how one task's effort is split across assignees, by allotted percentage. Use when the caller asks how a task is divided rather than who is on it. Params: task_reference. Narrower than get_task_assignees."
Which open tasks have no due date?,Show pending tasks missing deadlines.,List tasks without a due date.,project_scope,"SELECT
    p.project_id,
    p.project_key,
    p.title AS project_name,
    pt.task_id,
    pt.title AS task_name,
    pts.status_name,
    pt.priority,
    pt.start_date,
    pt.due_date,
    pt.percent_complete
FROM tbl_project_tasks pt
INNER JOIN tbl_projects p
    ON pt.project_id = p.project_id
LEFT JOIN tbl_project_task_status pts
    ON pt.task_status_id = pts.task_status_id
    AND pts.project_id = p.project_id
WHERE
    pt.status = 1
    AND pt.archive = 0
    AND p.status = 1
    AND p.archive = 0
    AND pt.percent_complete < 100
    AND pt.due_date IS NULL
ORDER BY
    p.title,
    pt.priority DESC,
    pt.title;",,Tool,get_tasks_without_due_date,"Lists open tasks with no due date set. Use for schedule-hygiene checks. Params: project_scope (optional). tbl_project_tasks.due_date holds genuine NULLs (live-verified), so the IS NULL test is valid on this column."
What is the completion percentage of task :task_reference?,Show progress for :task_reference.,How complete is :task_reference?,task_reference,"SELECT t.task_id, t.reference_no, t.title, t.percent_complete, ts.status_name, t.update_date FROM tbl_project_tasks t LEFT JOIN tbl_project_task_status ts ON ts.task_status_id = t.task_status_id WHERE t.reference_no = :task_reference AND t.status = 1 AND t.archive = 0;",,Tool,get_task_completion_percentage,Returns the completion percentage of one task with its status. Params: task_reference. For effort rather than progress use get_task_estimate_vs_actual or get_task_logged_hours.
Compare estimate and actual hours for task :task_reference.,Show planned versus actual effort for :task_reference.,Is :task_reference over its estimate?,task_reference,"SELECT t.task_id, t.reference_no, t.title, t.estimate AS estimated_hours, t.actual_hours, (t.actual_hours - t.estimate) AS variance_hours, t.estimate_complete AS remaining_estimate_hours FROM tbl_project_tasks t WHERE t.reference_no = :task_reference AND t.status = 1 AND t.archive = 0;",,Tool,get_task_estimate_vs_actual,"Compares estimated against actual hours for one task and returns the variance. Params: task_reference. Uses the stored actual_hours, not timesheet sums - get_task_logged_hours is the timesheet view and the two can disagree."
Which tasks have exceeded their estimated hours?,Show tasks where actual hours are above estimate.,List effort-overrun tasks.,project_scope,"SELECT
    p.project_id,
    p.project_key,
    p.title AS project_name,
    t.task_id,
    t.reference_no,
    t.title AS task_name,
    t.estimate AS estimated_hours,
    t.actual_hours,
    (t.actual_hours - t.estimate) AS variance_hours,
    ROUND((t.actual_hours / NULLIF(t.estimate, 0)) * 100, 2) AS utilization_percentage
FROM tbl_project_tasks t
INNER JOIN tbl_projects p
    ON t.project_id = p.project_id
WHERE
    t.status = 1
    AND t.archive = 0
    AND p.status = 1
    AND p.archive = 0
    AND t.estimate > 0
    AND t.actual_hours > t.estimate
ORDER BY
    variance_hours DESC,
    p.title,
    t.title;",,Tool,get_tasks_over_estimate,"Lists tasks whose actual hours exceed their estimate, with variance. Use for effort overruns and estimation-accuracy checks. Params: project_scope (optional; portfolio-wide if omitted)."
Which tasks were updated in the last :days days?,Show recently changed tasks.,List tasks updated recently.,days,"SELECT t.task_id, t.reference_no, t.title, p.title AS project_title, t.update_date, ts.status_name, t.percent_complete FROM tbl_project_tasks t JOIN tbl_projects p ON p.project_id = t.project_id LEFT JOIN tbl_project_task_status ts ON ts.task_status_id = t.task_status_id WHERE t.update_date >= DATE_SUB(NOW(), INTERVAL :days DAY) AND t.status = 1 AND t.archive = 0 ORDER BY t.update_date DESC;",,Tool,get_recently_updated_tasks,Lists tasks updated within the last N days. Use for 'what changed recently'. Params: days (lookback window). The inverse view is get_stale_open_tasks.
Which open tasks have not been updated in :days days?,Show stale pending tasks.,List inactive open tasks.,days,"SELECT
    p.project_id,
    p.project_key,
    p.title AS project_name,
    t.task_id,
    t.reference_no,
    t.title AS task_name,
    pts.status_name,
    t.priority,
    t.start_date,
    t.due_date,
    t.update_date AS last_updated_date,
    DATEDIFF(CURDATE(), t.update_date) AS days_since_last_update,
    t.percent_complete
FROM tbl_project_tasks t
INNER JOIN tbl_projects p
    ON t.project_id = p.project_id
LEFT JOIN tbl_project_task_status pts
    ON t.task_status_id = pts.task_status_id
    AND pts.project_id = p.project_id
WHERE
    t.status = 1
    AND t.archive = 0
    AND p.status = 1
    AND p.archive = 0
    AND t.percent_complete < 100
    AND DATEDIFF(CURDATE(), t.update_date) > 30      -- Replace 30 with required number of days
ORDER BY
    days_since_last_update DESC,
    p.title,
    t.title;",,Tool,get_stale_open_tasks,"Lists open tasks not updated for at least N days, with days since last update. Use for stale or forgotten tasks. Params: days. Complements get_recently_updated_tasks."
